date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:23	92/92	---MCZ	200	added ('OK')	text/plain	etag:W/%2283c2062195519438db88816a522d77ad-ssl%22	https://www.lapa.ninja/robots.txt		(from )
12:35:25	291259/291259	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Oct%202025%2011:33:57%20GMT	https://www.lapa.ninja/tag/spotify/	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/tag/spotify/index.html	(from )
12:35:26	1758/1758	---M--	200	added ('OK')	image/png	etag:%2285fcbaa57f520f8797031ce9bb53a42f-ssl%22	https://www.lapa.ninja/favicon-32x32.png	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/favicon-32x32.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:26	378935/378935	---M--	200	added ('OK')	image/jpeg	etag:%22c7c52f985cbd5d78260e7de6f23861ad%22	https://cdn.lapa.ninja/assets/og-lapa/og-category.jpg	C:/My%20Web%20Sites/clone%204%20hm/cdn.lapa.ninja/assets/og-lapa/og-category.jpg	(from https://www.lapa.ninja/tag/spotify/)
12:35:26	745/745	---M--	200	added ('OK')	image/png	etag:%222f45189073b435e3d1af99dab75609be-ssl%22	https://www.lapa.ninja/favicon-16x16.png	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/favicon-16x16.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:27	3947/3947	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Oct%202025%2011:34:00%20GMT	https://www.lapa.ninja/apple-touch-icon.png	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/apple-touch-icon.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:28	12332/12332	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2027%20Oct%202025%2011:34:00%20GMT	https://www.lapa.ninja/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:28	54493/54493	---MCZ	200	added ('OK')	application/xml	etag:%22cc4e998902e8897078001884ea192515-ssl-df%22	https://www.lapa.ninja/tag/spotify/index.xml	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/tag/spotify/index.xml	(from https://www.lapa.ninja/tag/spotify/)
12:35:28	3947/3947	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Oct%202025%2011:34:02%20GMT	https://www.lapa.ninja/tag/spotify/[PremiumFlow]%20Premium%20logic%20handled%20by%20member.js	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/tag/spotify/[PremiumFlow]%20Premium%20logic%20handled%20by%20member.6.delayed	(from https://www.lapa.ninja/tag/spotify/)
12:35:31	731920/731920	---MCZ	200	added ('OK')	application/javascript	etag:51fa96a18665971ac38fa3895da582019bffda0b	https://cdn4.buysellads.net/pub/lapaninja.js?	C:/My%20Web%20Sites/clone%204%20hm/cdn4.buysellads.net/pub/lapaninjad41d.js	(from https://www.lapa.ninja/tag/spotify/)
